MULakeNumber,waterBody,AlternativeNames1,AlternativeNames2,samplingSite,Latitude_samplingSite,Longitude_samplingSite,Notes
111-DA-08-00,Indian_Hills,NA,NA,Indian_Hills Dam 8,38.10626555555555,-91.45498578,NA
111-DA-09-00,Indian_Hills,NA,NA,Indian_Hills Dam 9,38.10610109090909,-91.45562036,NA
111-DA-10-00,Indian_Hills,NA,NA,Indian_Hills Dam 10,38.106059433962265,-91.4558866,NA
111-DA-11-00,Indian_Hills,NA,NA,Indian_Hills Dam 11,38.10606576923077,-91.45623154,NA
111-DA-12-00,Indian_Hills,NA,NA,Indian_Hills Dam 12,38.10596240740741,-91.4568437,NA
111-DA-13-00,Indian_Hills,NA,NA,Indian_Hills Dam 13,38.10589,-91.45724255,NA
111-DA-14-00,Indian_Hills,NA,NA,Indian_Hills Dam 14,38.10536159,-91.45822971,NA
111-TR-COV1,Indian_Hills,NA,NA,Indian_Hills Trib Cove 1,38.095167,-91.449833,Tributary
111-TR-COV7,Indian_Hills,NA,NA,Indian_Hills Trib Cove 7,38.082806,-91.458694,Tributary
111-TR-BRUS,Indian_Hills,NA,NA,Indian_Hills Trib Brush Creek,38.072167,-91.4425,Tributary
112,Shayne,Shayne,NA,Shayne 1,37.898213708029346,-90.64284349,NA
113,Pape_Concordia,Pape (Concordia),NA,Pape (Concordia) 1,38.934661350534576,-93.58243926,NA
114,Henry_Sever,Henry Sever,NA,Henry Sever 1,40.00648696612723,-91.94467475,NA
115,Hunnewell,Hunnewell,NA,Hunnewell 1,39.70830567043918,-91.86237338,NA
116,Jacomo,Jacomo,NA,Jacomo 1,38.99,-94.31,NA
116,Jacomo,Jacomo,NA,Jacomo 2,38.97,-94.33,NA
116,Jacomo,Jacomo,NA,Jacomo 3,38.95,-94.33,NA
116,Jacomo,Jacomo,NA,Jacomo LIG,38.99,-94.31,NA
117,Little_Dixie,Little Dixie,NA,Little Dixie 1,38.91,-92.12,NA
117,Little_Dixie,Little Dixie,NA,Little Dixie 2,38.92,-92.12,NA
118,Raintree,Raintree,NA,Raintree 1,38.83511559717222,-94.38237993,NA
119,Sterling_Price,Sterling Price,NA,Sterling Price 1,39.40072612615741,-92.84289626,NA
120,Winnebago,Winnebago,NA,Winnebago 1,38.81342837262624,-94.35320838,NA
121,Higginsville,Higginsville,NA,Higginsville 1,39.06231945714977,-93.66970827,NA
122,Lewistown,Lewistown,NA,Lewistown 1,40.1,-91.82,NA
123,Shelbyville,Shelbyville,NA,Shelbyville 1,39.807081419345856,-92.05115829,NA
124,Wyconda,Wyconda,NA,Wyconda 1,40.4,-91.91,NA
127,Clarence_East,Clarence (East),NA,Clarence (East) 1,39.75,-92.23,NA
128,Clarence_West,Clarence (West),NA,Clarence (West) 1,39.75,-92.24,NA
129,LaBelle_City_East,LaBelle City (East),NA,LaBelle City (East) 1,40.09,-91.9,NA
130,LaPlata_East,LaPlata (East),NA,LaPlata (East) 1,40.01,-92.43,NA
131,Hazel_Creek,Hazel Creek,NA,Hazel Creek 1,40.3,-92.63,NA
131,Hazel_Creek,Hazel Creek,NA,Hazel Creek 2,40.28,-92.6,NA
131,Hazel_Creek,Hazel Creek,NA,Hazel Creek 3,40.28,-92.61,NA
132,Lancaster_City_South,Lancaster City (South),NA,Lancaster City (South) 1,40.52,-92.55,NA
133,Forest,Forest,NA,Forest 1,40.17,-92.65,NA
133,Forest,Forest,NA,Forest 2,40.17,-92.64,NA
134,Jamesport_City,Jamesport City,NA,Jamesport City 1,39.99066553,-93.81062227,NA
135,Trenton_Upper_East,Trenton (Upper East),NA,Trenton (Upper East) 1,40.08,-93.58,NA
137,Green_City,Green City,NA,Green City 1,40.26,-92.92,NA
139,Marceline_North,Marceline (North),NA,Marceline (North) 1,39.72283450710069,-92.91965813,NA
140,Cameron_Century,Cameron 1 (Century),Cameron1Century,Cameron 1 (Century) 1,39.76245187210934,-94.26139772,NA
141,Showme,Showme,NA,Showme 1,40.44,-92.22,NA
143,Bethany_South,Bethany (South),NA,Bethany (South) 1,40.28703418699187,-94.02557061,NA
144,Pinewoods,Pinewoods,NA,Pinewoods 1,36.92,-90.77,NA
145,Mark_Twain,Mark Twain,NA,Mark Twain 1,39.52,-91.65,NA
145,Mark_Twain,Mark Twain,NA,Mark Twain 2,39.54,-91.7,NA
145,Mark_Twain,Mark Twain,NA,Mark Twain 3,39.5,-91.8,NA
145,Mark_Twain,Mark Twain,NA,Mark Twain 4,39.48,-91.79,NA
145,Mark_Twain,Mark Twain,NA,Mark Twain 5,39.51,-91.77,NA
146,Crane,Crane,NA,Crane 1,37.41834639344262,-90.61814189,NA
148,Blue_Springs,Blue Springs,NA,Blue Springs (unknown),39.01,-94.31,NA
148,Blue_Springs,Blue Springs,NA,Blue Springs 1,39.01,-94.34,NA
149,Lake_of_the_Ozarks,Lake of the Ozarks,NA,Lake of the Ozarks 1,38.21,-92.63,NA
149,Lake_of_the_Ozarks,Lake of the Ozarks,NA,Lake of the Ozarks 1.2,38.25,-92.75,NA
149,Lake_of_the_Ozarks,Lake of the Ozarks,NA,Lake of the Ozarks 1.25,38.25,-92.74,NA
149,Lake_of_the_Ozarks,Lake of the Ozarks,NA,Lake of the Ozarks 1.6,38.28,-92.78,NA
149,Lake_of_the_Ozarks,Lake of the Ozarks,NA,Lake of the Ozarks 10,38.18,-92.75,NA
149,Lake_of_the_Ozarks,Lake of the Ozarks,NA,Lake of the Ozarks 13,38.18,-92.69,NA
149,Lake_of_the_Ozarks,Lake of the Ozarks,NA,Lake of the Ozarks 16,38.18,-92.64,NA
149,Lake_of_the_Ozarks,Lake of the Ozarks,NA,Lake of the Ozarks 18,38.17,-92.63,NA
149,Lake_of_the_Ozarks,Lake of the Ozarks,NA,Lake of the Ozarks 2.12,38.08,-92.58,NA
149,Lake_of_the_Ozarks,Lake of the Ozarks,NA,Lake of the Ozarks 2.15,38.12,-92.64,NA
149,Lake_of_the_Ozarks,Lake of the Ozarks,NA,Lake of the Ozarks 2.2,38.12,-92.65,NA
149,Lake_of_the_Ozarks,Lake of the Ozarks,NA,Lake of the Ozarks 2.5,38.09,-92.61,NA
149,Lake_of_the_Ozarks,Lake of the Ozarks,NA,Lake of the Ozarks 21,38.15,-92.68,NA
