MULakeNumber,waterBody,Latitude_waterBody,Longitude_waterBody,Hylak_id,ecoregionID,EPA_L3NAME,waterbody_elevation,waterbody_area_km2,waterbody_perimeter_km,waterbody_elongation_ratio,watershed_area_km2,watershed_perimeter_km,watershed_elongation_ratio,landCover
072,Smithville,39.4,-94.55,9219,6,Western Corn Belt Plains,250,52.59838072,260.372811,0.3013,887.9739421,271.4896529,0.5181,agriculture
073,Rocky_Hollow,39.36,-94.28,NA,1,Central Irregular Plains,241,0.114041773,2.442714633,0.3622,14.46079487,24.20593351,0.5595,agriculture
074,Watkins_Mill,39.39,-94.26,1056724,1,Central Irregular Plains,262,0.591444401,6.570835233,0.4355,14.13494931,24.8531524,0.5801,mixed
075,Sugar,39.55,-95.05,112269,6,Western Corn Belt Plains,229,2.689225762,12.87991357,0.4566,10.02340047,20.91267322,0.5632,mixed
076,Contrary_Oxbow,39.72,-94.91,112225,6,Western Corn Belt Plains,221,0.397193173,7.932281503,0.2614,53.63815507,51.80977614,0.6643,agriculture
077,Allaman,39.66,-94.21,NA,1,Central Irregular Plains,281,0.041117273,1.016663536,0.6126,1.128944888,5.971199221,0.7168,mixed
078,Hamilton_City,39.74,-94.03,1056317,1,Central Irregular Plains,275,0.52286732,6.329471364,0.4707,10.29551302,17.92032204,0.7392,agriculture
079,Breckenridge_City,39.78,-93.81,NA,1,Central Irregular Plains,244,0.090354312,1.794415355,0.4884,2.754243193,8.85258749,0.6856,agriculture
080,Viking,39.94,-94.06,112187,1,Central Irregular Plains,245,3.806702519,35.35712122,0.4557,62.52053024,44.94676071,0.8249,agriculture
081,Pony_Express,39.8,-94.38,1056245,1,Central Irregular Plains,286,1.755429362,19.45252817,0.5011,21.74935703,29.31212383,0.8052,agriculture
082,Maysville,39.88,-94.38,1056147,1,Central Irregular Plains,267,0.263607285,4.361846097,0.4031,13.58825346,21.31970727,0.7221,agriculture
083,Bethany_North,40.31,-94.03,1055707,1,Central Irregular Plains,271,0.345926426,4.738151634,0.495,5.011454464,12.66870802,0.6332,agriculture
084,Paho,40.4,-93.65,1055628,1,Central Irregular Plains,279,1.652855598,16.23712455,0.4645,20.82039928,29.97584974,0.6759,agriculture
085,Marie,40.49,-93.55,1055550,1,Central Irregular Plains,283,0.352525558,5.896403123,0.6205,2.455515597,7.730888573,0.7651,mixed
086,New_Milan,40.2,-93.1,1055796,1,Central Irregular Plains,259,0.257869179,3.430176869,0.4982,4.65272801,12.26553734,0.6793,mixed
087,Brookfield,39.8,-93.03,1056258,1,Central Irregular Plains,229,0.741431489,6.831233088,0.5091,4.872594617,12.08642677,0.7298,agriculture
088,Marceline_South,39.66,-93,1056415,1,Central Irregular Plains,223,1.097388096,10.80556994,0.4142,17.5422468,23.3872721,0.6713,agriculture
089,Truman,38.26,-93.41,796,3,Ozark Highlands,186,324.2058285,1474.349409,0.2813,3940.225132,809.5211097,0.6199,mixed
090,Montrose,38.31,-93.92,112488,1,Central Irregular Plains,215,9.509570339,47.29712702,0.4559,601.4064224,203.3993089,0.7096,agriculture
091,Atkinson,38.01,-94.05,112557,1,Central Irregular Plains,200,2.834351779,14.706148840000001,0.5472,29.63345208,34.0043646,0.707,agriculture
092,Pomme_De_Terre,37.9,-93.32,9268,3,Ozark Highlands,238,49.94478379,261.713032,0.3764,2582.182042,477.6680002,0.5964,agriculture
093,Stockton,37.69,-93.77,9273,3,Ozark Highlands,240,161.126742,586.3035989,0.3743,4496.59105,691.7290522,0.7558,agriculture
094,Lamar_City,37.48,-94.26,1058918,1,Central Irregular Plains,287,0.956268158,8.931250739,0.4738,9.725246424,25.31946467,0.4988,agriculture
095,McDaniel,37.29,-93.31,1059103,3,Ozark Highlands,334,1.400175523,14.08542546,0.3036,75.27305143,82.60957825,0.6409,agriculture
096,Fellows,37.32,-93.23,112679,3,Ozark Highlands,359,5.131369584,31.73564439,0.4117,80.86547082,62.31580305,0.6527,mixed
097,Springfield,37.11,-93.26,1059328,3,Ozark Highlands,340,1.868119485,23.56899318,0.3003,1079.387896,329.3469815,0.5737,mixed
098,Table_Rock,36.6,-93.31,NA,3,Ozark Highlands,184,13.4136918,166.5129738,0.1593,1353.144508,299.8314687,0.56,forest
099,Taneycomo,36.66,-93.12,NA,3,Ozark Highlands,184,13.4136918,166.5129738,0.1593,1353.144508,299.8314687,0.56,forest
100,Bull_Shoals,36.53,-92.6,808,3,Ozark Highlands,131,282.0420498,1508.367091,0.2403,3999.432098,507.2404422,0.6542,forest
101,Norfork,36.59,-92.29,9322,3,Ozark Highlands,118,117.6205297,630.5756991,0.251,7049.674503,763.8987764,0.6819,forest
102,Noblett,36.91,-92.1,NA,3,Ozark Highlands,265,0.1732526,3.208272607,0.3683,100.2760173,65.75927103,0.6404,forest
104,Sims_Valley,37.01,-91.85,1059402,3,Ozark Highlands,365,0.266436455,2.994187622,0.637,3.890596737,10.21471654,0.8026,forest
105,Austin,37.16,-92.19,NA,3,Ozark Highlands,438,0.134268327,1.82033252,0.6081,2.518343362,8.525680038,0.7131,agriculture
106,Roby,37.52,-92.12,NA,3,Ozark Highlands,370,0.065542011,1.215506073,0.7027,2.34365999,8.526328508,0.7816,forest
107,Ziske,37.65,-91.51,1058752,3,Ozark Highlands,347,0.177502873,3.128794342,0.5401,2.478499374,9.684079387,0.7464,forest
108,Turner,37.65,-91.51,NA,3,Ozark Highlands,347,0.098461707,1.730456165,0.5189,3.01347398,10.47490752,0.7687,forest
